index,class_name,severity
153,Synthesizer,NONE
154,Sampler,NONE
155,Harpsichord,NONE
156,Percussion,NONE
157,Drum kit,NONE
158,Drum machine,NONE
159,Drum,NONE
160,Snare drum,NONE
161,Rimshot,NONE
162,Drum roll,NONE
163,Bass drum,NONE
164,Timpani,NONE
165,Tabla,NONE
166,Cymbal,NONE
167,Hi-hat,NONE
168,Wood block,NONE
169,Tambourine,NONE
170,Rattle (instrument),NONE
171,Maraca,NONE
172,Gong,NONE
173,Tubular bells,NONE
174,Mallet percussion,NONE
175,"Marimba, xylophone",NONE
176,Glockenspiel,NONE
177,Vibraphone,NONE
178,Steelpan,NONE
179,Orchestra,NONE
180,Brass instrument,NONE
181,French horn,NONE
182,Trumpet,NONE
183,Trombone,NONE
184,Bowed string instrument,NONE
185,String section,NONE
186,"Violin, fiddle",NONE
187,Pizzicato,NONE
188,Cello,NONE
189,Double bass,NONE
190,"Wind instrument, woodwind instrument",NONE
191,Flute,NONE
192,Saxophone,NONE
193,Clarinet,NONE
194,Harp,NONE
195,Bell,NONE
196,Church bell,NONE
197,Jingle bell,NONE
198,Bicycle bell,NONE
199,Tuning fork,NONE
200,Chime,NONE
201,Wind chime,NONE
202,Change ringing (campanology),NONE
203,Harmonica,NONE
204,Accordion,NONE
205,Bagpipes,NONE
206,Didgeridoo,NONE
207,Shofar,NONE
208,Theremin,NONE
209,Singing bowl,NONE
210,Scratching (performance technique),NONE
211,Pop music,NONE
212,Hip hop music,NONE
213,Beatboxing,NONE
214,Rock music,NONE
215,Heavy metal,NONE
216,Punk rock,NONE
217,Grunge,NONE
218,Progressive rock,NONE
219,Rock and roll,NONE
220,Psychedelic rock,NONE
221,Rhythm and blues,NONE
222,Soul music,NONE
223,Reggae,NONE
224,Country,NONE
225,Swing music,NONE
226,Bluegrass,NONE
227,Funk,NONE
228,Folk music,NONE
229,Middle Eastern music,NONE
230,Jazz,NONE
231,Disco,NONE
232,Classical music,NONE
233,Opera,NONE
234,Electronic music,NONE
235,House music,NONE
236,Techno,NONE
237,Dubstep,NONE
238,Drum and bass,NONE
239,Electronica,NONE
240,Electronic dance music,NONE
241,Ambient music,NONE
242,Trance music,NONE
243,Music of Latin America,NONE
244,Salsa music,NONE
245,Flamenco,NONE
246,Blues,NONE
247,Music for children,NONE
248,New-age music,NONE
249,Vocal music,NONE
250,A capella,NONE
251,Music of Africa,NONE
252,Afrobeat,NONE
253,Christian music,NONE
254,Gospel music,NONE
255,Music of Asia,NONE
256,Carnatic music,NONE
257,Music of Bollywood,NONE
258,Ska,NONE
259,Traditional music,NONE
260,Independent music,NONE
261,Song,NONE
262,Background music,NONE
263,Theme music,NONE
264,Jingle (music),NONE
265,Soundtrack music,NONE
266,Lullaby,NONE
267,Video game music,NONE
268,Christmas music,NONE
269,Dance music,NONE
270,Wedding music,NONE
271,Happy music,NONE
272,Sad music,NONE
273,Tender music,NONE
274,Exciting music,NONE
275,Angry music,NONE
276,Scary music,NONE
277,Wind,NONE
278,Rustling leaves,NONE
279,Wind noise (microphone),NONE
280,Thunderstorm,NONE
281,Thunder,NONE
282,Water,NONE
283,Rain,NONE
284,Raindrop,NONE
285,Rain on surface,NONE
286,Stream,NONE
287,Waterfall,NONE
288,Ocean,NONE
289,"Waves, surf",NONE
290,Steam,NONE
291,Gurgling,NONE
292,Fire,NONE
293,Crackle,NONE
294,Vehicle,NONE
295,"Boat, Water vehicle",NONE
296,"Sailboat, sailing ship",NONE
297,"Rowboat, canoe, kayak",NONE
298,"Motorboat, speedboat",NONE
299,Ship,NONE
300,Motor vehicle (road),NONE
301,Car,NONE
302,"Vehicle horn, car horn, honking",NONE
303,Toot,NONE
304,Car alarm,NONE
305,"Power windows, electric windows",NONE
306,Skidding,NONE
307,Tire squeal,NONE
308,Car passing by,NONE
309,"Race car, auto racing",NONE
310,Truck,NONE
311,Air brake,NONE
312,"Air horn, truck horn",NONE
313,Reversing beeps,NONE
314,"Ice cream truck, ice cream van",NONE
315,Bus,NONE
316,Emergency vehicle,NONE
317,Police car (siren),NONE
318,Ambulance (siren),NONE
319,"Fire engine, fire truck (siren)",NONE
320,Motorcycle,NONE
321,"Traffic noise, roadway noise",NONE
322,Rail transport,NONE
323,Train,NONE
324,Train whistle,NONE
325,Train horn,NONE
326,"Railroad car, train wagon",NONE
327,Train wheels squealing,NONE
328,"Subway, metro, underground",NONE
329,Aircraft,NONE
330,Aircraft engine,NONE
331,Jet engine,NONE
332,"Propeller, airscrew",NONE
333,Helicopter,NONE
334,"Fixed-wing aircraft, airplane",NONE
335,Bicycle,NONE
336,Skateboard,NONE
337,Engine,NONE
338,Light engine (high frequency),NONE
339,"Dental drill, dentist's drill",NONE
340,Lawn mower,NONE
341,Chainsaw,NONE
342,Medium engine (mid frequency),NONE
343,Heavy engine (low frequency),NONE
344,Engine knocking,NONE
345,Engine starting,NONE
346,Idling,NONE
347,"Accelerating, revving, vroom",NONE
348,Door,NONE
349,Doorbell,NONE
350,Ding-dong,NONE
351,Sliding door,NONE
352,Slam,NONE
353,Knock,NONE
354,Tap,NONE
355,Squeak,NONE
356,Cupboard open or close,NONE
357,Drawer open or close,NONE
358,"Dishes, pots, and pans",NONE
359,"Cutlery, silverware",NONE
360,Chopping (food),NONE
361,Frying (food),NONE
362,Microwave oven,NONE
363,Blender,NONE
364,"Water tap, faucet",NONE
365,Sink (filling or washing),NONE
366,Bathtub (filling or washing),NONE
367,Hair dryer,NONE
368,Toilet flush,NONE
369,Toothbrush,NONE
370,Electric toothbrush,NONE
371,Vacuum cleaner,NONE
372,Zipper (clothing),NONE
373,Keys jangling,NONE
374,Coin (dropping),NONE
375,Scissors,NONE
376,"Electric shaver, electric razor",NONE
377,Shuffling cards,NONE
378,Typing,NONE
379,Typewriter,NONE
380,Computer keyboard,NONE
381,Writing,NONE
382,Alarm,NONE
383,Telephone,NONE
384,Telephone bell ringing,NONE
385,Ringtone,NONE
386,"Telephone dialing, DTMF",NONE
387,Dial tone,NONE
388,Busy signal,NONE
389,Alarm clock,NONE
390,Siren,NONE
391,Civil defense siren,NONE
392,Buzzer,NONE
393,"Smoke detector, smoke alarm",NONE
394,Fire alarm,NONE
395,Foghorn,NONE
396,Whistle,NONE
397,Steam whistle,NONE
398,Mechanisms,NONE
399,"Ratchet, pawl",NONE
400,Clock,NONE
401,Tick,NONE
402,Tick-tock,NONE
403,Gears,NONE
404,Pulleys,NONE
405,Sewing machine,NONE
406,Mechanical fan,NONE
407,Air conditioning,NONE
408,Cash register,NONE
409,Printer,NONE
410,Camera,NONE
411,Single-lens reflex camera,NONE
412,Tools,NONE
413,Hammer,NONE
414,Jackhammer,NONE
415,Sawing,NONE
416,Filing (rasp),NONE
417,Sanding,NONE
418,Power tool,NONE
419,Drill,NONE
420,Explosion,NONE
421,"Gunshot, gunfire",NONE
422,Machine gun,NONE
423,Fusillade,NONE
424,Artillery fire,NONE
425,Cap gun,NONE
426,Fireworks,NONE
427,Firecracker,NONE
428,"Burst, pop",NONE
429,Eruption,NONE
430,Boom,NONE
431,Wood,NONE
432,Chop,NONE
433,Splinter,NONE
434,Crack,NONE
435,Glass,NONE
436,"Chink, clink",NONE
437,Shatter,NONE
438,Liquid,NONE
439,"Splash, splatter",NONE
440,Slosh,NONE
441,Squish,NONE
442,Drip,NONE
443,Pour,NONE
444,"Trickle, dribble",NONE
445,Gush,NONE
446,Fill (with liquid),NONE
447,Spray,NONE
448,Pump (liquid),NONE
449,Stir,NONE
450,Boiling,NONE
451,Sonar,NONE
452,Arrow,NONE
453,"Whoosh, swoosh, swish",NONE
454,"Thump, thud",NONE
455,Thunk,NONE
456,Electronic tuner,NONE
457,Effects unit,NONE
458,Chorus effect,NONE
459,Basketball bounce,NONE
460,Bang,NONE
461,"Slap, smack",NONE
462,"Whack, thwack",NONE
463,"Smash, crash",NONE
464,Breaking,NONE
465,Bouncing,NONE
466,Whip,NONE
467,Flap,NONE
468,Scratch,NONE
469,Scrape,NONE
470,Rub,NONE
471,Roll,NONE
472,Crushing,NONE
473,"Crumpling, crinkling",NONE
474,Tearing,NONE
475,"Beep, bleep",NONE
476,Ping,NONE
477,Ding,NONE
478,Clang,NONE
479,Squeal,NONE
480,Creak,NONE
481,Rustle,NONE
482,Whir,NONE
483,Clatter,NONE
484,Sizzle,NONE
485,Clicking,NONE
486,Clickety-clack,NONE
487,Rumble,NONE
488,Plop,NONE
489,"Jingle, tinkle",NONE
490,Hum,NONE
491,Zing,NONE
492,Boing,NONE
493,Crunch,NONE
494,Silence,NONE
495,Sine wave,NONE
496,Harmonic,NONE
497,Chirp tone,NONE
498,Sound effect,NONE
499,Pulse,NONE
500,"Inside, small room",NONE
501,"Inside, large room or hall",NONE
502,"Inside, public space",NONE
503,"Outside, urban or manmade",NONE
504,"Outside, rural or natural",NONE
505,Reverberation,NONE
506,Echo,NONE
507,Noise,NONE
508,Environmental noise,NONE
509,Static,NONE
510,Mains hum,NONE
511,Distortion,NONE
512,Sidetone,NONE
513,Cacophony,NONE
514,White noise,NONE
515,Pink noise,NONE
516,Throbbing,NONE
517,Vibration,NONE
518,Television,NONE
519,Radio,NONE
520,Field recording,NONE
